symbol,trades,a_win_rate,a_avg_r,a_profit_factor,a_total_r,b_win_rate,b_avg_r,b_profit_factor,b_total_r,better,edge_diff
ONGC,103,35.9,-0.135,0.79,-13.9,35.9,-0.102,0.84,-10.5,NO_TRAIL,-0.033
POWERGRID,105,33.3,-0.253,0.62,-26.61,33.3,-0.178,0.73,-18.74,NO_TRAIL,-0.075
RELIANCE,68,41.2,-0.036,0.94,-2.46,41.2,0.04,1.07,2.72,NO_TRAIL,-0.076
SBIN,95,26.3,-0.322,0.56,-30.57,26.3,-0.336,0.54,-31.91,TRAIL,0.014
SUNPHARMA,80,41.2,-0.052,0.91,-4.15,41.2,-0.015,0.98,-1.17,NO_TRAIL,-0.037
TATACONSUM,60,36.7,0.008,1.01,0.46,36.7,-0.086,0.86,-5.16,TRAIL,0.094
TATASTEEL,140,35.0,-0.138,0.78,-19.38,35.0,-0.126,0.8,-17.65,NO_TRAIL,-0.012
TECHM,169,48.5,0.431,1.84,72.9,48.5,0.213,1.41,36.0,TRAIL,0.218
TITAN,109,41.3,0.058,1.1,6.32,41.3,0.036,1.06,3.88,TRAIL,0.022
TRENT,142,43.7,0.076,1.14,10.79,43.7,0.097,1.17,13.72,NO_TRAIL,-0.021
ULTRACEMCO,94,45.7,0.066,1.12,6.22,45.7,0.122,1.22,11.45,NO_TRAIL,-0.056
WIPRO,92,47.8,0.039,1.07,3.57,47.8,0.185,1.36,17.05,NO_TRAIL,-0.146
ADANIENT,147,36.7,-0.059,0.91,-8.67,36.7,-0.077,0.88,-11.37,TRAIL,0.018
ETERNAL,161,54.7,0.512,2.13,82.4,54.7,0.366,1.81,59.0,TRAIL,0.146
JIOFIN,90,33.3,-0.197,0.7,-17.73,33.3,-0.167,0.75,-15.0,NO_TRAIL,-0.03
SHRIRAMFIN,165,44.2,0.073,1.13,12.12,44.2,0.109,1.2,17.97,NO_TRAIL,-0.036
BEL,104,35.6,-0.151,0.76,-15.66,35.6,-0.105,0.84,-10.9,NO_TRAIL,-0.046
ABB,135,45.2,0.163,1.3,22.07,45.2,0.13,1.24,17.5,TRAIL,0.033
AMBUJACEM,96,35.4,-0.181,0.72,-17.42,35.4,-0.119,0.82,-11.39,NO_TRAIL,-0.062
APOLLOHOSP,67,37.3,-0.05,0.92,-3.34,37.3,-0.067,0.89,-4.49,TRAIL,0.017
