exit_reason,exit_time,entry_credit,exit_credit,pnl,entry_time,entry_date,expiry,signal,short_offset,hedge_offset,option_type,lot_size
Intra-Bar Target Hit,2022-04-18 09:15:00,65.45,22.91,2127.12,2022-04-12 10:00:00,2022-04-12,2022-04-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2022-04-19 14:15:00,63.1,116.73,-2681.75,2022-04-18 12:00:00,2022-04-18,2022-04-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2022-04-19 14:15:00,59.6,110.26,-2533.0,2022-04-19 14:00:00,2022-04-19,2022-04-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Gap Stop Loss,2022-04-22 09:15:00,44.3,232.85,-9427.5,2022-04-21 14:00:00,2022-04-21,2022-04-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-04-26 09:15:00,49.15,17.2,1597.37,2022-04-25 12:00:00,2022-04-25,2022-04-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2022-04-27 12:15:00,27.0,49.95,-1147.5,2022-04-27 10:00:00,2022-04-27,2022-04-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2022-04-28 14:15:00,1.55,2.87,-65.88,2022-04-28 14:00:00,2022-04-28,2022-04-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-04-29 14:15:00,51.6,95.46,-2193.0,2022-04-29 11:00:00,2022-04-29,2022-05-26,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-05-11 13:15:00,59.95,110.91,-2547.88,2022-05-11 12:00:00,2022-05-11,2022-05-26,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-05-18 12:15:00,50.8,17.78,1651.0,2022-05-17 13:00:00,2022-05-17,2022-05-26,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-05-20 09:15:00,56.85,19.9,1847.62,2022-05-19 12:00:00,2022-05-19,2022-05-26,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
